Region,ResturantName,Cuisine,Reviews,Stars,Excellent,VeryGood,Poor,Average,Terrible,FoodRating,ServiceRating,ValueRating,Branch
Riyadh,Tomahawk,American,10,4,1,1,0,2,0,4,3.5,3.5,
Riyadh,Pasta Delizia,Italian,10,3.5,0,1,0,1,0,0,0,0,
Riyadh,Le Dorma,French,10,4,0,1,0,0,0,0,0,0,
Riyadh,Mexika,Mexican,9,4.5,2,1,0,0,0,0,0,0,
Riyadh,Crust Corner Patisserie,Healthy,9,4.5,2,1,0,0,0,0,0,0,
Riyadh,Koshary Express,Mediterranean,9,3.5,1,1,0,2,0,0,0,0,
Riyadh,Palm Coffee Riyadh,Arabic,9,4,0,1,0,0,0,0,0,0,
Riyadh,Paul,French,8,4.5,4,1,0,0,0,0,0,0,
Riyadh,Tammra Lounge,Cafe,8,5,3,1,0,0,0,0,0,0,
Riyadh,Ristorante Pizzeria Il Fornaretto,Italian,7,4.5,6,1,0,1,0,4,4,3.5,
Riyadh,Anaqa ,Middle Eastern,7,5,3,1,0,0,0,0,0,0,
Riyadh,Golden Yellow Indian ,Indian,7,4,2,1,0,2,0,4,4.5,4,
Riyadh,Petek,Turkish,7,4.5,2,1,0,0,0,0,0,0,
Riyadh,Islas Resto & Grill,Filipino,7,4.5,2,1,0,0,0,0,0,0,
Riyadh,Pan Breeza Lounge,Cafe,7,4,1,1,0,0,0,0,0,0,
Riyadh,YummyWok,Asian,7,4,1,1,0,1,0,0,0,0,
Riyadh,Belo,Middle Eastern,7,4,0,1,0,0,0,0,0,0,
Riyadh,Koppa,Italian,6,4,3,1,0,0,0,0,0,0,
Riyadh,Cabana Brasilian ,Brazilian,6,4.5,2,1,0,0,0,0,0,0,
Riyadh,Pizza Hut,Pizza,6,4,0,1,0,3,0,0,0,0,
Riyadh,Alsaaj Alreefi,Fast Food,6,4,0,1,0,0,0,0,0,0,
Riyadh,Blaze Pizza,Pizza,5,4,4,1,0,0,1,0,0,0,
Riyadh,Dunkinâ€™Donuts,American,5,3.5,3,1,0,2,0,0,0,0,
Riyadh,Meatin Grill's Korean Bbq House,Barbecue,5,4.5,2,1,0,0,0,0,0,0,
Riyadh,Cafe Tale,Cafe,5,4.5,1,1,0,0,0,0,0,0,
Riyadh,Em Sherif Cafe,Lebanese,4,4.5,12,1,0,1,0,0,0,0,
Riyadh,Gold Sushi Club,Japanese,4,4.5,7,1,0,1,0,0,0,0,
Riyadh,BBQ Tonight Riyadh,Pakistani,3,5,4,1,0,0,0,0,0,0,
Riyadh,Texas Chicken,American,3,3.5,3,1,0,2,1,0,0,0,
Riyadh,Mama noura,Fast Food,3,4.5,1,1,0,0,0,0,0,0,
Riyadh,Brew Crew,Cafe,3,4.5,1,1,0,0,0,0,0,0,
Riyadh,Oishii Sushi,Japanese,3,4.5,0,1,0,0,0,0,0,0,
Riyadh,Walton Street Scalini Riyadh,Italian,2,4,9,1,0,1,2,0,0,0,
Riyadh,Gontran Cherrier,French,2,3.5,3,1,0,1,2,0,0,0,
Riyadh,Burger King,American,2,4.5,1,1,0,0,0,0,0,0,
Riyadh,Quick Bites,International,1,5,4,1,0,0,0,0,0,0,
Riyadh,Signature Juice Factory,International,1,4,2,1,0,2,2,0,0,0,
Riyadh,Kahwet Azmi,Lebanese,1,4.5,1,1,0,0,0,0,0,0,
Riyadh,Ben's Cookies,Cafe,1,4,1,1,0,0,0,0,0,0,
Riyadh,Pizza Hut,Pizza,1,4,0,1,0,0,0,0,0,0,
Riyadh,Piatto,Italian,0,4.5,5,1,0,0,0,0,0,0,
Riyadh,Myfish,Seafood,0,4,3,1,0,1,2,4.5,3.5,4,Samakatee
Riyadh,Pizza Hut,Pizza,0,3.5,1,1,0,1,1,0,0,0,
Riyadh,Chamonix Cafe,Cafe,0,3.5,0,1,0,0,1,0,0,0,
Riyadh,Nook Cafe,Cafe,0,4,0,1,0,0,0,0,0,0,
Riyadh,La Rustica Pizzeria,Italian,880,1,0,0,0,0,5,1,1,1,
Riyadh,Falafel Dam,Arabic,640,2.5,0,0,0,0,1,0,0,0,
Riyadh,Felzy Lounge,International,395,3,1,0,0,1,1,0,0,0,
Riyadh,Crazy Pizza Saudi,Italian,384,1,0,0,0,0,1,0,0,0,
Riyadh,Paul,Cafe,284,2,0,0,0,1,0,0,0,0,
Riyadh,La Rustica Terraza,Italian,252,1,0,0,0,0,1,0,0,0,
Riyadh,Wavyice,American,232,5,1,0,0,0,0,0,0,0,
Riyadh,LPM  & CafÃ©,French,183,2.5,1,0,0,0,2,0,0,0,
Riyadh,Abyan ,Italian,178,5,1,0,0,0,0,0,0,0,
Riyadh,Grand Lucky Indian ,Indian,162,3,1,0,0,0,1,0,0,0,
Riyadh,La Mode,International,155,3,0,0,0,2,0,0,0,0,
Riyadh,Pizza Hut,Pizza,154,3,0,0,0,1,0,0,0,0,
Riyadh,Yogi,International,147,5,1,0,0,0,0,0,0,0,
Riyadh,Beeves Burger & Steakhouse,Turkish,140,3,0,0,0,1,0,0,0,0,
Riyadh,rbg grill ,American,136,5,1,0,0,0,0,0,0,0,
Riyadh,Desi Tadka  Riyadh,Indian,134,3,0,0,0,2,0,0,0,0,
Riyadh,TAJ Castle ,Indian,110,1,0,0,0,0,1,0,0,0,
Riyadh,Pizza Hut,Pizza,106,3,0,0,0,1,0,0,0,0,
Riyadh,Sbarro,Pizza,98,4.5,2,0,0,1,0,0,0,0,
Riyadh,Chef Alsham ,Middle Eastern,96,5,1,0,0,0,0,0,0,0,
Riyadh,Pizza Hut,Pizza,95,3.5,0,0,0,3,0,0,0,0,
Riyadh,Gourmet Cafe,Cafe,95,3,0,0,0,0,1,0,0,0,
Riyadh,Family Garden s,Italian,94,5,1,0,0,0,0,0,0,0,
Riyadh,Lean Meals,Healthy,93,3,0,0,0,1,0,0,0,0,
Riyadh,Mixburger,Italian,90,5,1,0,0,0,0,0,0,0,
Riyadh,Sisal Fast Food,American,89,2,0,0,0,1,1,0,0,0,
Riyadh,Pizza Hut,Pizza,87,3.5,0,0,0,0,1,0,0,0,
Riyadh,Surround,International,82,3.5,2,0,0,1,1,0,0,0,
Riyadh,Shrimp Shack Badia,Seafood,79,5,1,0,0,0,0,0,0,0,
Riyadh,Shah Rukh Khan Indian ,Chinese,75,5,1,0,0,0,0,0,0,0,
Riyadh,Alpha Cafe,Cafe,75,5,1,0,0,0,0,0,0,0,
Riyadh,Bahay Kainan,Filipino,72,5,1,0,0,0,0,0,0,0,
Riyadh,Blondom,American,70,3.5,0,0,0,1,0,0,0,0,
Riyadh,Muunni's,International,69,5,1,0,0,0,0,0,0,0,
Riyadh,PrisonCafe,Cafe,68,5,1,0,0,0,0,0,0,0,
Riyadh,Belo ,Italian,66,3.5,1,0,0,0,0,0,0,0,
Riyadh,Picoolo,Cafe,65,5,1,0,0,0,0,0,0,0,
Riyadh,Al Fanar  & Cafe,Seafood,62,5,1,0,0,0,0,0,0,0,
Riyadh,Pizza Hut,Fast Food,60,3.5,0,0,0,3,0,0,0,0,
Riyadh,Pizza Hut,Pizza,56,3,0,0,0,1,0,0,0,0,
Riyadh,Snack Street,American,54,4,1,0,0,1,0,0,0,0,
Riyadh,Alcamal,Indian,54,3.5,0,0,0,0,1,0,0,0,
Riyadh,Coffee Smile,Cafe,47,4,1,0,0,0,0,0,0,0,
Riyadh,Koi,Japanese,44,5,2,0,0,0,0,0,0,0,
Riyadh,Dokos Lounge,International,44,3.5,1,0,0,2,0,0,0,0,
Riyadh,Bollywood420,Indian,43,4,1,0,0,1,0,0,0,0,
Riyadh,AlKhrof ,Arabic,42,5,1,0,0,0,0,0,0,0,
Riyadh,The Grill Garden,American,41,4.5,2,0,0,0,0,0,0,0,
Riyadh,Pizza Hut,Pizza,41,3.5,0,0,0,1,0,0,0,0,
Riyadh,Al Balad  Riyadh,Lebanese,39,4,1,0,0,1,0,0,0,0,
Riyadh,Hara Masrya,Mediterranean,39,5,1,0,0,0,0,0,0,0,
Riyadh,"â€ªChef Boutique Turkish Steakhouse,",Steakhouse,36,4.5,1,0,0,0,0,0,0,0,
Riyadh,Cookery ,Italian,35,5,2,0,0,0,0,0,0,0,
Riyadh,Mirzam,Cafe,32,5,1,0,0,0,0,0,0,0,
Riyadh,Burger King ,American,32,5,1,0,0,0,0,0,0,0, King Fahd
Riyadh,Durrat China,Chinese,32,5,1,0,0,0,0,0,0,0,
Riyadh,Broadway Cafe,American,32,4,1,0,0,1,0,0,0,0,
Riyadh,Elite Cup Roasting,Cafe,32,5,1,0,0,0,0,0,0,0,
Riyadh,Hediard Cafe,French,32,3.5,1,0,0,0,1,0,0,0,
Riyadh,Rojina Cafe,Cafe,31,3.5,0,0,0,2,0,0,0,0,
Riyadh,Cake Me Out Cafe,French,30,5,1,0,0,0,0,0,0,0,
Riyadh,12 Cups,Cafe,29,5,1,0,0,0,0,0,0,0,
Riyadh,Leila Min,Lebanese,28,5,1,0,0,0,0,0,0,0,
Riyadh,Roll Karachi,Barbecue,28,5,1,0,0,0,0,0,0,0,
Riyadh,Primavera ,Italian,28,3.5,1,0,0,0,1,0,0,0,
Riyadh,Zok al mazak,Fast Food,28,1.5,0,0,0,0,1,0,0,0,
Riyadh,Bice ,Italian,26,4,1,0,0,1,0,0,0,0,
Riyadh,Zaitoon ,Chinese,25,5,10,0,0,0,0,0,0,0,
Riyadh,OULU lounge,International,25,3.5,2,0,0,0,1,0,0,0,
Riyadh,Coffee boxes,Cafe,25,4.5,1,0,0,0,0,0,0,0,
Riyadh,Secret Garden CafÃ©,Cafe,24,5,2,0,0,0,0,0,0,0,
Riyadh,Deep Fries,American,24,5,1,0,0,0,0,0,0,0,
Riyadh,Faris Breakfast,American,23,5,1,0,0,0,0,0,0,0,
Riyadh,Los Bandidos Riyadh,French,22,5,2,0,0,0,0,0,0,0,
Riyadh,Ibrahim Al Zafrani Grills,Barbecue,22,5,1,0,0,0,0,0,0,0,
Riyadh,Sweet and Salty Cafe,Cafe,22,5,1,0,0,0,0,0,0,0,
Riyadh,Turkish Taste,Turkish,21,5,2,0,0,0,0,0,0,0,
Riyadh,Cusina,Filipino,20,4,2,0,0,4,0,0,0,0,
Riyadh,Piedays,Cafe,19,4.5,4,0,0,1,0,0,0,0,
Riyadh,Shrimp Shack Ad Dhabab,Seafood,19,5,2,0,0,0,0,0,0,0,
Riyadh,Frosti Ice Cream,Italian,19,4.5,2,0,0,0,0,0,0,0,
Riyadh,Al,Turkish,18,4,2,0,0,3,0,0,0,0,Sakhrah
Riyadh,Brewstars Cafe and Terrace,Cafe,18,5,1,0,0,0,0,0,0,0,
Riyadh,Kapital Kitchen,Italian,18,4.5,1,0,0,0,0,0,0,0,
Riyadh,Apache Smoke & Grill,Barbecue,18,5,1,0,0,0,0,0,0,0,
Riyadh,Avak,Lebanese,17,5,3,0,0,0,0,0,0,0,
Riyadh,Ala Albal,Lebanese,17,3.5,2,0,0,7,0,3.5,3.5,3,
Riyadh,Golden Dragon,Chinese,16,5,1,0,0,0,0,0,0,0,
Riyadh,Toro Burger & Burrito,Fast Food,16,3.5,0,0,0,1,0,0,0,0,
Riyadh,Caramel Lobby Lounge,International,15,4.5,3,0,0,1,0,0,0,0,
Riyadh,Fish Factory,Seafood,15,5,2,0,0,0,0,0,0,0,
Riyadh,La Gais,American,15,5,1,0,0,0,0,0,0,0,
Riyadh,Faris breakfast,Cafe,15,4,1,0,0,0,0,0,0,0,
Riyadh,Pizza Hut,Fast Food,14,4,1,0,0,0,0,0,0,0,
Riyadh,Flour & Firewood,Italian,14,5,1,0,0,0,0,0,0,0,
Riyadh,Shawurama Halil,Arabic,14,5,1,0,0,0,0,0,0,0,
Riyadh,Sweet Date,Italian,13,5,2,0,0,0,0,0,0,0,
Riyadh,The Cove Seafood ,Seafood,12,4.5,1,0,0,0,0,0,0,0,
Riyadh,Nirvana,Italian,12,4,1,0,0,2,0,0,0,0,
Riyadh,Kashounat Albait,Cafe,12,4,1,0,0,0,0,0,0,0,
Riyadh,Shrimp Shack Shifa,Seafood,11,5,7,0,0,0,0,0,0,0,
Riyadh,Koshina Resturant,Italian,11,4.5,2,0,0,1,1,0,0,0,
Riyadh,Lecomptoir Lounge,European,11,5,1,0,0,0,0,0,0,0,
Riyadh,Jorkan,Turkish,11,5,1,0,0,0,0,0,0,0,
Riyadh,Mosaique,International,10,5,3,0,0,0,0,0,0,0,
Riyadh,Steak House,American,10,5,2,0,0,0,0,0,0,0,
Riyadh,Ritage by Maroun Chedid Riyadh,Mediterranean,10,4.5,1,0,0,1,0,0,0,0,
Riyadh,Flour & Firewood,Pizza,10,5,1,0,0,0,0,0,0,0,
Riyadh,Maqloba,Arabic,9,5,5,0,0,0,0,0,0,0,
Riyadh,City Fresh Kitchen,Healthy,9,5,4,0,0,0,0,0,0,0,
Riyadh,Finca Rosalia,Steakhouse,9,4.5,3,0,0,0,0,0,0,0,
Riyadh,Confeiteiria Nacional,European,9,5,2,0,0,0,0,0,0,0,
Riyadh,Bituti,Chinese,9,5,2,0,0,0,0,0,0,0,
Riyadh,Mama Noura,Fast Food,9,5,1,0,0,0,0,0,0,0,alswuaidi
Riyadh,Roka Riyadh,Japanese,8,5,6,0,0,0,0,0,0,0,
Riyadh,Wabi Sabi,Italian,8,4.5,4,0,0,1,0,0,0,0,
Riyadh,Coya Riyadh,Peruvian,8,5,2,0,0,0,0,0,0,0,
Riyadh,Huqqa,Italian,8,5,2,0,0,0,0,0,0,0,
Riyadh,Rice Creamery,International,8,4,1,0,0,0,0,0,0,0,
Riyadh,Madami,Italian,8,5,1,0,0,0,0,0,0,0,
Riyadh,Organic Drip,American,7,5,6,0,0,0,0,0,0,0,
Riyadh,Shrimp Shack Takhassusi,Seafood,7,5,5,0,0,0,0,0,0,0,
Riyadh,Fish Rice Kitchen,Seafood,7,4,4,0,0,0,1,0,0,0,
Riyadh,Zafran Indian Bistro ,Indian,6,5,30,0,0,0,0,0,0,0, Nakheel Mall
Riyadh,The View ,International,6,5,2,0,0,0,0,0,0,0,
Riyadh,Ø¯ÙŠÙ„ Ù…Ø§Ø±,Italian,6,5,1,0,0,0,0,0,0,0,
Riyadh,Buttermilk,American,6,5,1,0,0,0,0,0,0,0,
Riyadh,W XYZ lounge,Bar,6,4,0,0,0,1,0,0,0,0,
Riyadh,Indian Oven,Chinese,5,4,7,0,0,0,1,4,4,4,
Riyadh,Re:fuel snack bar,Cafe,5,4,3,0,0,2,0,0,0,0,
Riyadh,Buttermilk,American,5,5,2,0,0,0,0,0,0,0,
Riyadh,32Grimp,American,5,5,2,0,0,0,0,0,0,0,
Riyadh,Pastalita,Italian,5,3.5,1,0,0,1,0,0,0,0,
Riyadh,Roots Coffeehouse,Cafe,4,5,5,0,0,0,0,0,0,0,
Riyadh,Noor Al Hanaa ,Turkish,4,4.5,3,0,0,0,0,0,0,0,
Riyadh,Gobblers,Fast Food,4,5,3,0,0,0,0,0,0,0,
Riyadh,The Kitchen Production,Mediterranean,4,5,3,0,0,0,0,0,0,0,
Riyadh,Indian Valley ,Indian,4,4.5,3,0,0,0,0,0,0,0,
Riyadh,Kitchen On 3,Lebanese,4,5,3,0,0,0,0,0,0,0,
Riyadh,Pizza Time,Pizza,4,4,2,0,0,3,0,4,4,4,
Riyadh,Broasted Express,American,4,5,2,0,0,0,0,0,0,0,
Riyadh,Shrimp Shack Al Rabwa,Seafood,4,5,2,0,0,0,0,0,0,0,
Riyadh,Shabby chic,Italian,4,4,1,0,0,0,0,0,0,0,
Riyadh,YummiFrutty,Fast Food,4,5,1,0,0,0,0,0,0,0,
Riyadh,Texas Roadhouse,American,3,4.5,3,0,0,1,0,0,0,0,
Riyadh,Scaramouche lounge,Italian,3,4,3,0,0,1,0,0,0,0,
Riyadh,Cleaver Burger 2,American,3,5,1,0,0,0,0,0,0,0,
Riyadh,Lamis Bistro,Middle Eastern,3,4,1,0,0,1,0,0,0,0,
Riyadh,Pizza Hut,Pizza,3,4,1,0,0,0,0,0,0,0,
Riyadh,La Cure Gourmande,French,3,5,1,0,0,0,0,0,0,0,
Riyadh,Booze Specialty Coffee Bar,Cafe,3,3.5,1,0,0,0,1,0,0,0,
Riyadh,Takya,Middle Eastern,2,4.5,7,0,0,0,0,0,0,0,
Riyadh,Yawmiyat,Lebanese,2,4,3,0,0,1,1,0,0,0,
Riyadh,Bukhari Alzamarad Resturant,Mediterranean,2,5,2,0,0,0,0,0,0,0,
Riyadh,Cleaver Burger,American,2,5,1,0,0,0,0,0,0,0,
Riyadh,Coffee Cherries,Cafe,2,4.5,1,0,0,0,0,0,0,0,
Riyadh,Huna Takhassusi,Italian,2,5,1,0,0,0,0,0,0,0,
Riyadh, Bus Station Corner,Italian,2,4,1,0,0,1,0,0,0,0,
Riyadh,Guven KSA,Turkish,2,4.5,1,0,0,0,0,0,0,0,
Riyadh,Nando's Nakheel Mall Riyadh,African,1,5,4,0,0,0,0,0,0,0,
Riyadh,Shrimp Shack King Abdullah Rd,Seafood,1,5,4,0,0,0,0,0,0,0,
Riyadh,FireGrill,Mexican,1,4.5,1,0,0,0,0,0,0,0,
Riyadh,Myazu Riyadh,Sushi,1,5,1,0,0,0,0,0,0,0,
Riyadh,FireGrill,Mexican,1,5,1,0,0,0,0,0,0,0,
Riyadh,Taxi Steaks & Burgers,American,1,3.5,1,0,0,1,0,0,0,0,
Riyadh,Pizza Hut,Pizza,1,4,0,0,0,1,0,0,0,0,
Riyadh,Kudo,Fast Food,1,3,0,0,0,1,0,0,0,0,
Riyadh,ACME ,American,0,4.5,4,0,0,1,0,0,0,0,
Riyadh,Zero Four ,Italian,0,4,3,0,0,1,1,0,0,0,
Riyadh,Arepas,Fast Food,0,4,3,0,0,0,1,0,0,0,
Riyadh,Half Million,Cafe,0,4,2,0,0,0,0,0,0,0,
Riyadh,Capri Cafe,Italian,0,4,2,0,0,0,0,0,0,0,
Riyadh,Oplaisir,French,0,3.5,2,0,0,0,2,0,0,0,
Riyadh,Pizza Hut,Pizza,0,4,1,0,0,0,0,0,0,0,
Riyadh,Lets Pizza,Italian,0,5,1,0,0,0,0,0,0,0,
Riyadh,Ø£Ù†ÙØ§Ø³ Ø§Ù„Ø¹ÙˆØ¯ Ù„Ø§ÙˆÙ†Ø¬,Cafe,0,5,1,0,0,0,0,0,0,0,
Riyadh,La Cour ,Italian,0,4,1,0,0,0,0,0,0,0,
Riyadh,Voila lounge & Cafe,Italian,0,5,1,0,0,0,0,0,0,0,
Riyadh,Ø¨ÙˆØ§Ø¨Ø© Ø§Ù„Ø±Ø§ÙØ¯ÙŠÙ†,Mediterranean,0,3,0,0,0,1,0,0,0,0,
Riyadh,Batchig Cafe,Lebanese,54,,,,,,,0,0,0,
Riyadh,Swiss Butter,French,40,,,,,,,0,0,0,
Riyadh,Gillardino,Italian,21,,,,,,,0,0,0,
Riyadh,So Delicious,International,16,,,,,,,0,0,0,
Riyadh,Burger King ,American,13,,,,,,,0,0,0, Lulu Avenue Mall
Riyadh,Swiss Butter,French,11,,,,,,,0,0,0,
Riyadh,Swiss Butter,French,10,,,,,,,0,0,0,
Riyadh,Swiss Butter,French,10,,,,,,,0,0,0,
Riyadh,Swiss Butter,French,8,,,,,,,0,0,0,
Riyadh,Swiss Butter,French,8,,,,,,,0,0,0,
Riyadh,Kazbah CafÃ©,Cafe,8,,,,,,,0,0,0,
Riyadh,Surround,American,7,,,,,,,0,0,0,
Riyadh,Snackers,Lebanese,7,,,,,,,0,0,0,
Riyadh,Swiss Butter,French,6,,,,,,,0,0,0,
Riyadh,Ù…Ø·Ø¹Ù… Ø³ÙØ±Ø© Ø§Ù„Ø±ÙŠØ§Ø¶ Ø¨Ø®Ø§Ø±ÙŠ,Grill,6,,,,,,,0,0,0,
Riyadh,Swiss Butter,French,5,,,,,,,0,0,0,
Riyadh,Swiss Butter,French,5,,,,,,,0,0,0,
Riyadh,Swiss Butter,French,5,,,,,,,0,0,0,
Riyadh,Artasty,Italian,5,,,,,,,0,0,0,
Riyadh,Swiss Butter,French,4,,,,,,,0,0,0,
Riyadh,Swiss Butter,French,4,,,,,,,0,0,0,
Riyadh,Swiss Butter,French,4,,,,,,,0,0,0,
Riyadh,Swiss Butter,French,3,,,,,,,0,0,0,
Riyadh,Swiss Butter,French,3,,,,,,,0,0,0,
Riyadh,Swiss Butter,French,3,,,,,,,0,0,0,
Riyadh,Burger King,American,3,,,,,,,0,0,0,
Riyadh,Swiss Butter,French,3,,,,,,,0,0,0,
Riyadh,Tomahawk,American,3,,,,,,,0,0,0,
Riyadh,Swiss Butter,French,3,,,,,,,0,0,0,
Riyadh,Who Made My Shawarma,Lebanese,3,,,,,,,0,0,0,
Riyadh,Delice,Italian,3,,,,,,,0,0,0,
Riyadh,Yawmiyat,Lebanese,3,,,,,,,0,0,0,
Riyadh,Coffee Day,Cafe,3,,,,,,,0,0,0,
Riyadh,Swiss Butter,French,2,,,,,,,0,0,0,
