,level_0,index,URLS,Title,OverAll,Time,Rank,
84,100,1974,https://www.tripadvisor.com//Attraction_Review-g293995-d23414844-Reviews-Riyadh_Riyadh_Province.html,['Riyadh National Park'],['5.0 of 5 bubbles. 1 review'],4PM–12AM,['#57,88 things to do in Riyadh']
85,101,1980,https://www.tripadvisor.com//Attraction_Review-g293995-d7784676-Reviews-Talla_Mall-Riyadh_Riyadh_Province.html,['Talla Mall'],['3.5 of 5 bubbles. 9 reviews'],9:30AM–11PM,['#22,84 Shopping in Riyadh']
86,104,1995,https://www.tripadvisor.com//Attraction_Review-g293995-d20238145-Reviews-Thaghr_Plaza-Riyadh_Riyadh_Province.html,['Thaghr Plaza'],['5.0 of 5 bubbles. 1 review'],24 hours,['#58,88 things to do in Riyadh']
87,105,1998,https://www.tripadvisor.com//Attraction_Review-g293995-d4222873-Reviews-Black_Stone_Spa-Riyadh_Riyadh_Province.html,['Black Stone Spa'],['4.0 of 5 bubbles. 8 reviews'],4PM–12AM,['#4,10 Spas & Wellness in Riyadh']
88,110,2022,https://www.tripadvisor.com//Attraction_Review-g293995-d18941351-Reviews-Dirab_Golf_and_Country_Club-Riyadh_Riyadh_Province.html,['Dirab Golf and Country Club'],['5.0 of 5 bubbles. 1 review'],5:30AM–7PM,['#19,46 Outdoor Activities in Riyadh']
89,111,2028,https://www.tripadvisor.com//Attraction_Review-g293995-d17451402-Reviews-Bounce_Riyadh-Riyadh_Riyadh_Province.html,['Bounce Riyadh'],['5.0 of 5 bubbles. 1 review'],['10:00 AM - 10:00 PM'],['#14,30 Fun & Games in Riyadh']
90,112,2031,https://www.tripadvisor.com//Attraction_Review-g293995-d13438316-Reviews-Ameer_Sultan_Mosque-Riyadh_Riyadh_Province.html,['Ameer Sultan Mosque'],['5.0 of 5 bubbles. 1 review'],,['#3,8 Classes & Workshops in Riyadh']
91,113,2034,https://www.tripadvisor.com//Attraction_Review-g293995-d24072768-Reviews-Park_Avenue_Mall-Riyadh_Riyadh_Province.html,['Park Avenue Mall'],['4.0 of 5 bubbles. 1 review'],['12:00 AM - 11:59 PM'],['#63,88 things to do in Riyadh']
92,114,2040,https://www.tripadvisor.com//Attraction_Review-g293995-d20139598-Reviews-Hidden_Canyon-Riyadh_Riyadh_Province.html,['Hidden Canyon'],['4.0 of 5 bubbles. 1 review'],24 hours,['#64,88 things to do in Riyadh']
93,115,2046,https://www.tripadvisor.com//Attraction_Review-g293995-d20007473-Reviews-Murabba_Palace-Riyadh_Riyadh_Province.html,['Murabba Palace'],['4.0 of 5 bubbles. 1 review'],9AM–12PM,['#65,88 things to do in Riyadh']
94,116,2052,https://www.tripadvisor.com//Attraction_Review-g293995-d19953039-Reviews-Kidzzdom-Riyadh_Riyadh_Province.html,['Kidzzdom'],['4.0 of 5 bubbles. 1 review'],Permanently closed,['#15,30 Fun & Games in Riyadh']
95,117,2058,https://www.tripadvisor.com//Attraction_Review-g293995-d19924986-Reviews-VOX_Cinemas_Al_Qasr_Mall-Riyadh_Riyadh_Province.html,['VOX Cinemas - Al Qasr Mall'],['4.0 of 5 bubbles. 1 review'],24 hours,['#16,30 Fun & Games in Riyadh']
96,118,2404,https://www.tripadvisor.com//Attraction_Review-g293995-d17712348-Reviews-Zero_Latency-Riyadh_Riyadh_Province.html,['Zero Latency'],['4.0 of 5 bubbles. 1 review'],4PM–12AM,['#17,30 Fun & Games in Riyadh']
97,119,2410,https://www.tripadvisor.com//Attraction_Review-g293995-d20069324-Reviews-Snow_City-Riyadh_Riyadh_Province.html,['Snow City'],['3.5 of 5 bubbles. 4 reviews'],12PM–12AM,['#18,30 Fun & Games in Riyadh']
98,120,2416,https://www.tripadvisor.com//Attraction_Review-g293995-d21250729-Reviews-Plaza_Premium_Lounge-Riyadh_Riyadh_Province.html,['Plaza Premium Lounge'],['4.0 of 5 bubbles. 5 reviews'],24 hours,['#7,27 Transportation in Riyadh']
99,121,2419,https://www.tripadvisor.com//Attraction_Review-g293995-d4453697-Reviews-Alhoribi-Riyadh_Riyadh_Province.html,['Alhoribi'],['4.0 of 5 bubbles. 1 review'],10AM–10:30PM,['#27,84 Shopping in Riyadh']
100,122,2422,https://www.tripadvisor.com//Attraction_Review-g293995-d4788848-Reviews-Maison_BO_M-Riyadh_Riyadh_Province.html,['Maison BO-M'],['4.0 of 5 bubbles. 1 review'],Permanently closed,['#28,84 Shopping in Riyadh']
101,123,2428,https://www.tripadvisor.com//Attraction_Review-g293995-d14153099-Reviews-Vox_Cinemas-Riyadh_Riyadh_Province.html,['Vox Cinemas'],['3.0 of 5 bubbles. 28 reviews'],24 hours,['#19,30 Fun & Games in Riyadh']
102,124,2434,https://www.tripadvisor.com//Attraction_Review-g293995-d23602142-Reviews-Souk_Al_Zal-Riyadh_Riyadh_Province.html,['Souk Al Zal'],,3:30PM–10:30PM,,['Flea & Street MarketsRead more']
103,126,2438,https://www.tripadvisor.com//Attraction_Review-g293995-d23992868-Reviews-Saudi_Arabia_Airport_Transfers_Vince_Group-Riyadh_Riyadh_Province.html,['Saudi Arabia Airport Transfers - Vince Group'],,24 hours,,['Taxis & ShuttlesRead more']
104,127,2440,https://www.tripadvisor.com//Attraction_Review-g293995-d24063023-Reviews-Escape_Ksa-Riyadh_Riyadh_Province.html,['Escape Ksa'],,['3:00 PM - 12:00 AM'],,['Game & Entertainment CentersRead more']
105,128,2442,https://www.tripadvisor.com//Attraction_Review-g293995-d24112913-Reviews-Moon_Flower-Riyadh_Riyadh_Province.html,['Moon Flower'],,['10:00 AM - 11:45 PM'],,['Speciality & Gift ShopsRead more']
106,129,2444,https://www.tripadvisor.com//Attraction_Review-g293995-d24098894-Reviews-Adst_Alroya-Riyadh_Riyadh_Province.html,['Adst  Alroya'],,['9:00 AM - 12:00 AM'],,['Speciality & Gift ShopsRead more']
107,130,2446,https://www.tripadvisor.com//Attraction_Review-g293995-d24843171-Reviews-Polone-Riyadh_Riyadh_Province.html,['Poloné'],,['11:00 AM - 3:00 AM'],,['Cigar BarsRead more']
108,131,2448,https://www.tripadvisor.com//Attraction_Review-g293995-d23956629-Reviews-Ouch_And_Spin-Riyadh_Riyadh_Province.html,['Ouch And Spin'],,['4:00 PM - 9:00 PM'],,['Health ClubsRead more']
109,133,2452,https://www.tripadvisor.com//Attraction_Review-g293995-d24096125-Reviews-King_Salman_Park-Riyadh_Riyadh_Province.html,['King Salman Park'],,['12:00 AM - 11:59 PM'],,['ParksRead more']
110,134,2454,https://www.tripadvisor.com//Attraction_Review-g293995-d23409049-Reviews-Plaza_Premium_Lounge_Departures_Terminal_1-Riyadh_Riyadh_Province.html,"['Plaza Premium Lounge (Departures, Terminal 1)']",,['12:00 AM - 11:59 PM'],,['Airport LoungesRead more']
111,135,2456,https://www.tripadvisor.com//Attraction_Review-g293995-d24078089-Reviews-Bomb_Cosmetics-Riyadh_Riyadh_Province.html,['Bomb Cosmetics'],,['10:00 AM - 11:00 PM'],,['Speciality & Gift ShopsRead more']
112,136,2458,https://www.tripadvisor.com//Attraction_Review-g293995-d24072611-Reviews-Hcare-Riyadh_Riyadh_Province.html,['Hcare'],,['7:00 AM - 11:30 PM'],,['Health Clubs • SpasRead more']
113,137,2460,https://www.tripadvisor.com//Attraction_Review-g293995-d23572031-Reviews-Saray_Spa-Riyadh_Riyadh_Province.html,['Saray Spa'],,['6:00 AM - 11:00 PM'],,['SpasRead more']
114,139,2464,https://www.tripadvisor.com//Attraction_Review-g293995-d23743857-Reviews-Four_Seasons_Flowers-Riyadh_Riyadh_Province.html,"[""Four Seasons' Flowers""]",,['4:00 PM - 11:00 PM'],,['Speciality & Gift ShopsRead more']
115,141,2468,https://www.tripadvisor.com//Attraction_Review-g293995-d23638411-Reviews-Riyadh_s_Wild_Horse_riding-Riyadh_Riyadh_Province.html,"[""Riyadh's Wild Horse-riding""]",,4PM- 12PM,,['Horse TracksRead more']
116,142,2470,https://www.tripadvisor.com//Attraction_Review-g293995-d23551483-Reviews-Game_Over_Escape_Rooms-Riyadh_Riyadh_Province.html,['Game Over - Escape Rooms'],,['4:00 PM - 12:00 AM'],,['Escape GamesRead more']
117,143,2472,https://www.tripadvisor.com//Attraction_Review-g293995-d10245228-Reviews-60_Min_Escape-Riyadh_Riyadh_Province.html,['60 Min Escape'],,Permanently closed,,['Escape GamesRead more']
118,145,2476,https://www.tripadvisor.com//Attraction_Review-g293995-d15511984-Reviews-Sharqia_Arts-Riyadh_Riyadh_Province.html,['Sharqia Arts'],,4–10PM,,['Art GalleriesRead more']
119,147,2480,https://www.tripadvisor.com//Attraction_Review-g293995-d17329203-Reviews-Dirab_Park-Riyadh_Riyadh_Province.html,['Dirab Park'],,,,['Sporting EventsRead more']
120,148,2659,https://www.tripadvisor.com//Attraction_Review-g293995-d16824766-Reviews-Escape_Mission-Riyadh_Riyadh_Province.html,['Escape Mission'],,['4:00 PM - 12:00 AM'],,['Escape GamesRead more']
121,149,2661,https://www.tripadvisor.com//Attraction_Review-g293995-d4611394-Reviews-Karim-Riyadh_Riyadh_Province.html,['Karim'],,['4:00 PM - 12:00 AM'],,['Speciality & Gift ShopsRead more']
122,150,2663,https://www.tripadvisor.com//Attraction_Review-g293995-d4536756-Reviews-Elyzee-Riyadh_Riyadh_Province.html,['Elyzee'],,['10:00 AM - 10:00 PM'],,['SpasRead more']
123,151,2665,https://www.tripadvisor.com//Attraction_Review-g293995-d24040464-Reviews-Alfakheer_For_Men_s_Wear-Riyadh_Riyadh_Province.html,"[""Alfakheer For Men's Wear""]",,['9:00 AM - 11:30 PM'],,['Shopping MallsRead more']
124,152,2667,https://www.tripadvisor.com//Attraction_Review-g293995-d24143043-Reviews-Riyadh_Desert-Riyadh_Riyadh_Province.html,['Riyadh Desert'],,24 hours,,['DesertsRead more']
125,153,2669,https://www.tripadvisor.com//Attraction_Review-g293995-d21306951-Reviews-Roze_Oud-Riyadh_Riyadh_Province.html,['Roze&Oud'],,['4:00 PM - 12:00 AM'],,['Speciality & Gift ShopsRead more']
126,154,2671,https://www.tripadvisor.com//Attraction_Review-g293995-d23095801-Reviews-1st_Arabia_Tradeshows_Conferences-Riyadh_Riyadh_Province.html,['1st Arabia Tradeshows & Conferences'],,9AM–5PM,,['Convention CentersRead more']
127,155,2673,https://www.tripadvisor.com//Attraction_Review-g293995-d21266309-Reviews-Taxi2Airport_Riyadh-Riyadh_Riyadh_Province.html,['Taxi2Airport Riyadh'],,ONLINE,,['Taxis & ShuttlesRead more']
129,158,2679,https://www.tripadvisor.com//Attraction_Review-g293995-d21390447-Reviews-Tribo_Store-Riyadh_Riyadh_Province.html,['Tribo Store'],,8:30PM–1AM,,['Speciality & Gift ShopsRead more']
130,159,2681,https://www.tripadvisor.com//Attraction_Review-g293995-d23991720-Reviews-May-Riyadh_Riyadh_Province.html,['May'],,ONLINE,,['Speciality & Gift ShopsRead more']
133,165,2693,https://www.tripadvisor.com//Attraction_Review-g293995-d19140308-Reviews-Meneur-Riyadh_Riyadh_Province.html,['Meneur'],,1PM–11PM,,['Speciality & Gift ShopsRead more']
134,167,2697,https://www.tripadvisor.com//Attraction_Review-g293995-d21230257-Reviews-Power_Jeans-Riyadh_Riyadh_Province.html,['Power Jeans'],,['12:00 AM - 11:59 PM'],,['Department StoresRead more']
136,172,2707,https://www.tripadvisor.com//Attraction_Review-g293995-d21315110-Reviews-Al_Qaffari_Carpet-Riyadh_Riyadh_Province.html,['Al Qaffari Carpet'],,9AM–10PM,,['Speciality & Gift ShopsRead more']
137,173,2709,https://www.tripadvisor.com//Attraction_Review-g293995-d20927707-Reviews-PROFi_DRIVER_Riyadh_Saudi_Arabia-Riyadh_Riyadh_Province.html,"['PROFi DRIVER Riyadh, Saudi Arabia']",,ONLINE,,['Taxis & ShuttlesRead more']
138,175,2713,https://www.tripadvisor.com//Attraction_Review-g293995-d19813411-Reviews-Mono_gallery-Riyadh_Riyadh_Province.html,['Mono gallery'],,1PM–10PM,,['Art GalleriesRead more']
139,176,2715,https://www.tripadvisor.com//Attraction_Review-g293995-d20001602-Reviews-Number_Nine_Concept_Store-Riyadh_Riyadh_Province.html,['Number Nine Concept Store'],,10AM–11:45PM,,['Speciality & Gift ShopsRead more']
140,177,2717,https://www.tripadvisor.com//Attraction_Review-g293995-d20001605-Reviews-Pattern-Riyadh_Riyadh_Province.html,['Pattern'],,11AM–8PM,,['Speciality & Gift ShopsRead more']
141,178,2850,https://www.tripadvisor.com//Attraction_Review-g293995-d19543770-Reviews-Miss_Mila-Riyadh_Riyadh_Province.html,['Miss Mila'],,10AM–11PM,,['Speciality & Gift ShopsRead more']
142,179,2852,https://www.tripadvisor.com//Attraction_Review-g293995-d19545117-Reviews-Guess_Accessories-Riyadh_Riyadh_Province.html,['Guess Accessories'],,10AM–11PM,,['Speciality & Gift ShopsRead more']
143,180,2854,https://www.tripadvisor.com//Attraction_Review-g293995-d19545216-Reviews-Bebe-Riyadh_Riyadh_Province.html,['Bebe'],,Temporarily closed,,['Speciality & Gift ShopsRead more']
144,181,2856,https://www.tripadvisor.com//Attraction_Review-g293995-d19524980-Reviews-Marks_and_Spencer-Riyadh_Riyadh_Province.html,['Marks and Spencer'],,10AM–11PM,,['Speciality & Gift ShopsRead more']
145,182,2858,https://www.tripadvisor.com//Attraction_Review-g293995-d19525023-Reviews-Marks_and_Spencer-Riyadh_Riyadh_Province.html,['Marks and Spencer'],,10AM–11PM,,['Speciality & Gift ShopsRead more']
146,183,2860,https://www.tripadvisor.com//Attraction_Review-g293995-d21198745-Reviews-Alajlan_Art_Gallery-Riyadh_Riyadh_Province.html,['Alajlan Art Gallery'],,5PM–10PM,,['Art GalleriesRead more']
147,186,2866,https://www.tripadvisor.com//Attraction_Review-g293995-d23710410-Reviews-Hala_Fitness-Riyadh_Riyadh_Province.html,['Hala Fitness'],,['2:00 PM - 9:00 PM'],,['Health ClubsRead more']
148,188,2870,https://www.tripadvisor.com//Attraction_Review-g293995-d19524964-Reviews-Reebook-Riyadh_Riyadh_Province.html,['Reebook'],,10AM–11PM,,['Speciality & Gift ShopsRead more']
149,189,2872,https://www.tripadvisor.com//Attraction_Review-g293995-d19525475-Reviews-Marks_and_Spencer-Riyadh_Riyadh_Province.html,['Marks and Spencer'],,10AM–11PM,,['Speciality & Gift ShopsRead more']
150,190,2874,https://www.tripadvisor.com//Attraction_Review-g293995-d19524477-Reviews-Ted_Baker-Riyadh_Riyadh_Province.html,['Ted Baker'],,10AM–11PM,,['Speciality & Gift ShopsRead more']
151,191,2876,https://www.tripadvisor.com//Attraction_Review-g293995-d19524554-Reviews-Reebok-Riyadh_Riyadh_Province.html,['Reebok'],,10AM–11PM,,['Speciality & Gift ShopsRead more']
152,192,2878,https://www.tripadvisor.com//Attraction_Review-g293995-d19524560-Reviews-The_Kooples-Riyadh_Riyadh_Province.html,['The Kooples'],,Temporarily closed,,['Speciality & Gift ShopsRead more']
153,193,2880,https://www.tripadvisor.com//Attraction_Review-g293995-d19524579-Reviews-Maje-Riyadh_Riyadh_Province.html,['Maje'],,Permanently closed,,['Speciality & Gift ShopsRead more']
154,194,2882,https://www.tripadvisor.com//Attraction_Review-g293995-d19525461-Reviews-Homeworks-Riyadh_Riyadh_Province.html,['Homeworks'],,6PM–12AM,,['Speciality & Gift ShopsRead more']
155,195,2884,https://www.tripadvisor.com//Attraction_Review-g293995-d23406798-Reviews-Archery_Range-Riyadh_Riyadh_Province.html,['Archery Range'],,['7:00 AM - 1:00 AM'],,['Game & Entertainment CentersRead more']
156,196,2886,https://www.tripadvisor.com//Attraction_Review-g293995-d23733623-Reviews-Plenty-Riyadh_Riyadh_Province.html,['Plenty'],,['7:00 AM - 12:30 AM'],,['Department StoresRead more']
157,197,2888,https://www.tripadvisor.com//Attraction_Review-g293995-d23602134-Reviews-Huna_Riyadh_Park-Riyadh_Riyadh_Province.html,['Huna - Riyadh Park'],,9:30AM–11:30PM,,['Shopping MallsRead more']
158,198,2890,https://www.tripadvisor.com//Attraction_Review-g293995-d23602132-Reviews-Ad_diriyah_jax-Riyadh_Riyadh_Province.html,['Ad-diriyah (jax)'],,4PM–11PM,,['Points of Interest & LandmarksRead more']
159,200,2894,https://www.tripadvisor.com//Attraction_Review-g293995-d23635674-Reviews-Limowide_Riyadh-Riyadh_Riyadh_Province.html,['Limowide Riyadh'],,ONLINE,,['Taxis & ShuttlesRead more']
160,201,2896,https://www.tripadvisor.com//Attraction_Review-g293995-d23661386-Reviews-LaakiLook-Riyadh_Riyadh_Province.html,['LaakiLook'],,['3:30 PM - 9:00 PM'],,['Speciality & Gift ShopsRead more']
161,203,2900,https://www.tripadvisor.com//Attraction_Review-g293995-d23915269-Reviews-Al_Qurashi_Stable-Riyadh_Riyadh_Province.html,['Al Qurashi Stable'],,24 hours,,['Horseback Riding ToursRead more']
162,204,2902,https://www.tripadvisor.com//Attraction_Review-g293995-d23598542-Reviews-Planet_X-Riyadh_Riyadh_Province.html,['Planet X'],,5PM–1AM,,['Game & Entertainment CentersRead more']
163,206,2906,https://www.tripadvisor.com//Attraction_Review-g293995-d21287793-Reviews-Power_Jeans-Riyadh_Riyadh_Province.html,['Power Jeans'],,10AM–11PM,,['Shopping MallsRead more']
164,207,2908,https://www.tripadvisor.com//Attraction_Review-g293995-d23133341-Reviews-Mishkat-Riyadh_Riyadh_Province.html,['Mishkat'],,['8:00 AM - 4:00 PM'],,['Science MuseumsRead more']
165,208,3041,https://www.tripadvisor.com//Attraction_Review-g293995-d15656697-Reviews-Mosary_Arena-Riyadh_Riyadh_Province.html,['Mosary Arena'],,3PM–12AM,,['Game & Entertainment CentersRead more']
166,209,3043,https://www.tripadvisor.com//Attraction_Review-g293995-d24892452-Reviews-Archery_Range-Riyadh_Riyadh_Province.html,['Archery Range'],,['6:00 PM - 12:00 AM'],,['Shooting RangesRead more']
167,214,3053,https://www.tripadvisor.com//Attraction_Review-g293995-d24103384-Reviews-Bomb_Cosmetics-Riyadh_Riyadh_Province.html,['Bomb Cosmetics'],,['10:00 AM - 11:00 PM'],,['Speciality & Gift ShopsRead more']
168,218,3061,https://www.tripadvisor.com//Attraction_Review-g293995-d19524926-Reviews-Marks_and_Spencer-Riyadh_Riyadh_Province.html,['Marks and Spencer'],,10AM–11PM,,['Speciality & Gift ShopsRead more']
169,219,3063,https://www.tripadvisor.com//Attraction_Review-g293995-d19524962-Reviews-Homeworks-Riyadh_Riyadh_Province.html,['Homeworks'],,10AM–11PM,,['Speciality & Gift ShopsRead more']
170,220,3065,https://www.tripadvisor.com//Attraction_Review-g293995-d19524965-Reviews-Vince_Camuto-Riyadh_Riyadh_Province.html,['Vince Camuto'],,10AM–11PM,,['Speciality & Gift ShopsRead more']
171,221,3067,https://www.tripadvisor.com//Attraction_Review-g293995-d19524976-Reviews-Marks_and_Spencer-Riyadh_Riyadh_Province.html,['Marks and Spencer'],,10AM–11PM,,['Speciality & Gift ShopsRead more']
172,222,3069,https://www.tripadvisor.com//Attraction_Review-g293995-d19524993-Reviews-Marks_and_Spencer-Riyadh_Riyadh_Province.html,['Marks and Spencer'],,10AM–11PM,,['Speciality & Gift ShopsRead more']
173,223,3071,https://www.tripadvisor.com//Attraction_Review-g293995-d19524995-Reviews-La_Fee-Riyadh_Riyadh_Province.html,['La Fee'],,10AM–11PM,,['Speciality & Gift ShopsRead more']
175,228,3081,https://www.tripadvisor.com//Attraction_Review-g293995-d19524520-Reviews-Sandro-Riyadh_Riyadh_Province.html,['Sandro'],,10AM–11PM,,['Speciality & Gift ShopsRead more']
176,229,3083,https://www.tripadvisor.com//Attraction_Review-g293995-d19524541-Reviews-Vince_Camuto-Riyadh_Riyadh_Province.html,['Vince Camuto'],,10AM–11PM,,['Speciality & Gift ShopsRead more']
177,230,3085,https://www.tripadvisor.com//Attraction_Review-g293995-d19524562-Reviews-Reebok-Riyadh_Riyadh_Province.html,['Reebok'],,10AM–11PM,,['Speciality & Gift ShopsRead more']
178,231,3087,https://www.tripadvisor.com//Attraction_Review-g293995-d19524726-Reviews-Vince_Camuto-Riyadh_Riyadh_Province.html,['Vince Camuto'],,10AM–11PM,,['Speciality & Gift ShopsRead more']
179,232,3089,https://www.tripadvisor.com//Attraction_Review-g293995-d19545153-Reviews-Guess_Jeans-Riyadh_Riyadh_Province.html,['Guess Jeans'],,10AM–11PM,,['Speciality & Gift ShopsRead more']
180,233,3091,https://www.tripadvisor.com//Attraction_Review-g293995-d19525446-Reviews-Marks_and_Spencer-Riyadh_Riyadh_Province.html,['Marks and Spencer'],,10AM–11PM,,['Speciality & Gift ShopsRead more']
181,234,3093,https://www.tripadvisor.com//Attraction_Review-g293995-d19525455-Reviews-Homeworks-Riyadh_Riyadh_Province.html,['Homeworks'],,10AM–11PM,,['Speciality & Gift ShopsRead more']
183,238,3232,https://www.tripadvisor.com//Attraction_Review-g293995-d17653920-Reviews-Al_manahil-Riyadh_Riyadh_Province.html,['Al manahil'],,['9:00 AM - 11:00 PM'],,['Health ClubsRead more']
184,240,3236,https://www.tripadvisor.com//Attraction_Review-g293995-d20001610-Reviews-Personage-Riyadh_Riyadh_Province.html,['Personage'],,3PM–11PM,,['Speciality & Gift ShopsRead more']
185,241,3238,https://www.tripadvisor.com//Attraction_Review-g293995-d19983384-Reviews-SPiN_Rentals-Riyadh_Riyadh_Province.html,['SPiN Rentals'],,6PM–12AM,,['Gear RentalsRead more']